id,release_date,title,production_budget,domestic_gross,worldwide_gross,release_year,release_month_x,Profit,ROI,Domestic_vs_Worldwide_Ratio,Release_Month,Day_of_Week
9,2006-06-16,The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205,2006,6,72794205,0.8564024117647059,0.39681755106279093,6,Friday
10,2005-12-09,Memoirs of a Geisha,85000000,57010853,161510853,2005,12,76510853,0.9001276823529412,0.3529846567029152,12,Friday
11,2001-03-16,Enemy at the Gates,85000000,51396781,96971293,2001,3,11971293,0.14083874117647058,0.5300205804206406,3,Friday
12,1993-06-18,Last Action Hero,85000000,50016394,137298489,1993,6,52298489,0.6152763411764706,0.36428947153234875,6,Friday
13,2003-09-26,The Rundown,85000000,47641743,80831893,2003,9,-4168107,-0.04903655294117647,0.5893928897594913,9,Friday
14,2011-11-23,Arthur Christmas,85000000,46462469,149717124,2011,11,64717124,0.7613779294117647,0.31033503555678776,11,Wednesday
16,1998-11-13,Meet Joe Black,85000000,44650003,44650003,1998,11,-40349997,-0.4747058470588235,1.0,11,Friday
17,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,2010,7,28026383,0.32972215294117646,0.3856245935075176,7,Friday
18,2002-02-08,Collateral Damage,85000000,40048332,78353508,2002,2,-6646492,-0.07819402352941177,0.5111236627720612,2,Friday
19,2002-03-15,Showtime,85000000,37948765,78948765,2002,3,-6051235,-0.071191,0.48067585351081804,3,Friday
20,1995-06-30,Judge Dredd,85000000,34687912,113487912,1995,6,28487912,0.33515190588235294,0.3056529227535704,6,Friday
21,2007-03-02,Zodiac,85000000,33080084,83080084,2007,3,-1919916,-0.02258724705882353,0.398171046625326,3,Friday
22,2010-08-13,Scott Pilgrim vs. The World,85000000,31611316,48056764,2010,8,-36943236,-0.43462630588235296,0.6577911904347118,8,Friday
23,2003-03-28,The Core,85000000,31111260,74132631,2003,3,-10867369,-0.1278514,0.41967025290118193,3,Friday
24,1997-05-09,Father's Day,85000000,28681080,35681080,1997,5,-49318920,-0.5802225882352942,0.8038175974494045,5,Friday
27,2000-07-28,Nutty Professor II: The Klumps,84000000,123307945,166307945,2000,7,82307945,0.9798564880952381,0.7414435010907026,7,Friday
28,2013-07-19,RED 2,84000000,53262560,141507355,2013,7,57507355,0.6846113690476191,0.3763942870672694,7,Friday
30,2006-12-15,Charlotte's Web,82500000,82985708,143985708,2006,12,61485708,0.7452813090909091,0.5763468413128892,12,Friday
31,2008-02-14,Jumper,82500000,80172128,222640812,2008,2,140140812,1.698676509090909,0.3600962792032936,2,Thursday
32,2008-07-11,Hellboy II: The Golden Army,82500000,75986503,160388063,2008,7,77888063,0.9440977333333334,0.473766573264246,7,Friday
35,2000-11-17,The 6th Day,82000000,34543701,96024898,2000,11,14024898,0.17103534146341465,0.35973691948102876,11,Friday
36,2020-02-21,Call of the Wild,82000000,0,0,2020,2,-82000000,-1.0,,2,Friday
54,2008-11-26,Four Christmases,80000000,120146040,168311558,2008,11,88311558,1.103894475,0.7138311915572667,11,Wednesday
56,2008-12-25,Bedtime Stories,80000000,110101975,221468935,2008,12,141468935,1.7683616875,0.4971441028512644,12,Thursday
57,2002-07-12,Road to Perdition,80000000,104054514,183354514,2002,7,103354514,1.291931425,0.5675045120514459,7,Friday
58,2011-02-11,Just Go With It,80000000,103028109,214974953,2011,2,134974953,1.6871869125,0.47925633922571437,2,Friday
59,2003-02-14,Daredevil,80000000,102543518,182782518,2003,2,102782518,1.284781475,0.5610138164307377,2,Friday
60,2008-09-26,Eagle Eye,80000000,101440743,180585259,2008,9,100585259,1.2573157375,0.5617332420250315,9,Friday
61,1997-06-06,Con Air,80000000,101117573,224117573,1997,6,144117573,1.8014696625,0.4511809210070288,6,Friday
62,2010-12-17,Yogi Bear,80000000,100246011,204774690,2010,12,124774690,1.559683625,0.4895429752573426,12,Friday
63,2003-12-25,Cold Mountain,80000000,95632614,165173909,2003,12,85173909,1.0646738625,0.5789813571585328,12,Thursday
64,2010-01-15,The Book of Eli,80000000,94835059,158750817,2010,1,78750817,0.9843852125,0.59738312401882,1,Friday
65,1997-11-26,Flubber,80000000,92993801,177993801,1997,11,97993801,1.2249225125,0.5224552792150329,11,Wednesday
66,1999-07-23,The Haunting,80000000,91188905,180188905,1999,7,100188905,1.2523613125,0.506073917259223,7,Friday
68,2014-10-17,Fury,80000000,85817906,210315681,2014,10,130315681,1.6289460125,0.4080433070513653,10,Friday
69,2018-09-28,Smallfoot,80000000,83240103,213691277,2018,9,133691277,1.6711409625,0.3895343982618439,9,Friday
70,2006-02-10,The Pink Panther,80000000,82226474,158926474,2006,2,78926474,0.986580925,0.5173868892353328,2,Friday
71,2011-07-08,Zookeeper,80000000,80360866,170805525,2011,7,90805525,1.1350690625,0.4704816545015157,7,Friday
72,2008-12-12,The Day the Earth Stood Still,80000000,79366978,237370350,2008,12,157370350,1.967129375,0.33435927444181635,12,Friday
73,1997-08-08,Conspiracy Theory,80000000,76118990,142783718,1997,8,62783718,0.784796475,0.5331069331028346,8,Friday
74,1998-06-12,"Six Days, Seven Nights",80000000,74339294,164800000,1998,6,84800000,1.06,0.4510879490291262,6,Friday
75,2002-05-24,Spirit: Stallion of the Cimarron,80000000,73215310,106515310,2002,5,26515310,0.331441375,0.6873688862192674,5,Friday
76,2001-06-08,Swordfish,80000000,69772969,147080413,2001,6,67080413,0.8385051625,0.4743865452703073,6,Friday
77,1999-12-31,Fantasia 2000 (Theatrical Release),80000000,69610858,69618634,1999,12,-10381366,-0.129767075,0.9998883057659534,12,Friday
78,1998-04-03,Lost In Space,80000000,69117629,136047317,1998,4,56047317,0.7005914625,0.508041103081805,4,Friday
79,2004-07-30,The Manchurian Candidate,80000000,65948711,96148711,2004,7,16148711,0.2018588875,0.6859032254732983,7,Friday
80,2006-11-22,DÃ©jÃ Vu,80000000,64038616,181038616,2006,11,101038616,1.2629827,0.3537290408804274,11,Wednesday
81,2019-06-07,The Secret Life of Pets 2,80000000,63795655,113351496,2019,6,33351496,0.4168937,0.5628126425433326,6,Friday
82,2005-06-24,Bewitched,80000000,63313159,131159306,2005,6,51159306,0.639491325,0.48271953345041335,6,Friday
83,2002-03-08,The Time Machine,80000000,56684819,98983590,2002,3,18983590,0.237294875,0.5726688534937963,3,Friday
84,1998-10-02,What Dreams May Come,80000000,55485043,71485043,1998,10,-8514957,-0.1064369625,0.776176954947065,10,Friday
85,1998-12-25,Mighty Joe Young,80000000,50632037,50632037,1998,12,-29367963,-0.3670995375,1.0,12,Friday
86,2005-10-28,The Legend of Zorro,80000000,45575336,141475336,2005,10,61475336,0.7684417,0.3221433310467628,10,Friday
87,2000-11-10,Little Nicky,80000000,39442871,58270391,2000,11,-21729609,-0.2716201125,0.6768938790886095,11,Friday
88,2009-09-25,Surrogates,80000000,38577772,119668350,2009,9,39668350,0.495854375,0.32237239002626844,9,Friday
89,2001-06-08,Evolution,80000000,38311134,98341932,2001,6,18341932,0.22927415,0.3895706868968163,6,Friday
90,2005-08-26,The Brothers Grimm,80000000,37899638,105299638,2005,8,25299638,0.316245475,0.35992182613201384,8,Friday
91,1996-12-13,Mars Attacks!,80000000,37771017,101371017,1996,12,21371017,0.2671377125,0.3726017368455522,12,Friday
92,2006-04-14,The Wild,80000000,37384046,99010667,2006,4,19010667,0.2376333375,0.3775759434081986,4,Friday
93,2013-12-20,Walking with Dinosaurs,80000000,36076121,123368842,2013,12,43368842,0.542110525,0.2924248976901315,12,Friday
94,2000-12-22,Thirteen Days,80000000,34566746,66554547,2000,12,-13445453,-0.1680681625,0.5193746717260355,12,Friday
95,1996-12-06,Daylight,80000000,32908290,158908290,1996,12,78908290,0.986353625,0.20708982520672772,12,Friday
96,2015-10-23,The Last Witch Hunter,80000000,27367660,130818912,2015,10,50818912,0.6352364,0.20920262660493613,10,Friday
96,2015-10-23,The Last Witch Hunter,80000000,27367660,130818912,2015,10,50818912,0.6352364,0.20920262660493613,10,Friday
